src_ip,dst_ip,src_port,dst_port,protocol
10.11.26.183,104.117.247.184,53279,80,TCP
104.117.247.184,10.11.26.183,80,53279,TCP
10.11.26.183,10.11.26.3,53280,389,TCP
10.11.26.183,10.11.26.3,53281,389,TCP
10.11.26.3,10.11.26.183,389,53280,TCP
10.11.26.3,10.11.26.183,389,53281,TCP
10.11.26.183,4.149.227.78,53282,443,TCP
4.149.227.78,10.11.26.183,443,53282,TCP
10.11.26.183,4.149.227.78,53283,443,TCP
4.149.227.78,10.11.26.183,443,53283,TCP
10.11.26.183,20.7.2.167,53284,443,TCP
20.7.2.167,10.11.26.183,443,53284,TCP
10.11.26.183,10.11.26.3,53286,88,TCP
10.11.26.3,10.11.26.183,88,53286,TCP
10.11.26.183,10.11.26.3,53287,88,TCP
10.11.26.3,10.11.26.183,88,53287,TCP
10.11.26.183,10.11.26.3,53288,88,TCP
10.11.26.3,10.11.26.183,88,53288,TCP
10.11.26.183,10.11.26.3,53289,135,TCP
10.11.26.3,10.11.26.183,135,53289,TCP
10.11.26.183,10.11.26.3,53290,445,TCP
10.11.26.3,10.11.26.183,445,53290,TCP
10.11.26.183,10.11.26.3,53291,49671,TCP
10.11.26.3,10.11.26.183,49671,53291,TCP
10.11.26.183,10.11.26.3,53292,88,TCP
10.11.26.3,10.11.26.183,88,53292,TCP
10.11.26.183,10.11.26.3,53293,88,TCP
10.11.26.3,10.11.26.183,88,53293,TCP
10.11.26.183,10.11.26.3,53294,88,TCP
10.11.26.3,10.11.26.183,88,53294,TCP
10.11.26.183,10.11.26.3,53295,49693,TCP
10.11.26.3,10.11.26.183,49693,53295,TCP
10.11.26.183,10.11.26.3,53296,389,TCP
10.11.26.3,10.11.26.183,389,53296,TCP
10.11.26.183,10.11.26.3,53297,389,TCP
10.11.26.3,10.11.26.183,389,53297,TCP
10.11.26.183,10.11.26.3,53298,445,TCP
10.11.26.3,10.11.26.183,445,53298,TCP
10.11.26.183,10.11.26.3,53299,88,TCP
10.11.26.3,10.11.26.183,88,53299,TCP
10.11.26.183,204.79.197.203,53300,443,TCP
204.79.197.203,10.11.26.183,443,53300,TCP
10.11.26.183,104.117.244.112,53301,443,TCP
104.117.244.112,10.11.26.183,443,53301,TCP
10.11.26.183,52.109.8.89,53302,443,TCP
10.11.26.183,10.11.26.3,53303,135,TCP
10.11.26.3,10.11.26.183,135,53303,TCP
10.11.26.183,10.11.26.3,53304,49671,TCP
10.11.26.3,10.11.26.183,49671,53304,TCP
10.11.26.183,10.11.26.3,53305,389,TCP
10.11.26.3,10.11.26.183,389,53305,TCP
52.109.8.89,10.11.26.183,443,53302,TCP
10.11.26.183,10.11.26.3,53306,389,TCP
10.11.26.3,10.11.26.183,389,53306,TCP
10.11.26.183,40.126.29.9,53307,443,TCP
40.126.29.9,10.11.26.183,443,53307,TCP
10.11.26.183,204.79.197.203,53308,443,TCP
204.79.197.203,10.11.26.183,443,53308,TCP
10.11.26.183,52.109.20.47,53309,443,TCP
52.109.20.47,10.11.26.183,443,53309,TCP
10.11.26.183,23.221.22.46,53310,443,TCP
23.221.22.46,10.11.26.183,443,53310,TCP
10.11.26.183,4.150.155.223,53311,443,TCP
4.150.155.223,10.11.26.183,443,53311,TCP
10.11.26.183,4.150.155.223,53312,443,TCP
4.150.155.223,10.11.26.183,443,53312,TCP
10.11.26.183,13.107.5.93,53313,443,TCP
10.11.26.183,40.126.28.11,53314,443,TCP
13.107.5.93,10.11.26.183,443,53313,TCP
40.126.28.11,10.11.26.183,443,53314,TCP
