src_ip,dst_ip,src_port,dst_port,protocol
10.6.13.133,10.6.13.3,52427,389,TCP
10.6.13.3,10.6.13.133,389,52427,TCP
10.6.13.133,10.6.13.3,52428,88,TCP
10.6.13.3,10.6.13.133,88,52428,TCP
10.6.13.133,173.222.52.33,52429,443,TCP
173.222.52.33,10.6.13.133,443,52429,TCP
10.6.13.133,52.156.123.84,52430,443,TCP
52.156.123.84,10.6.13.133,443,52430,TCP
10.6.13.133,23.192.223.206,52431,80,TCP
23.192.223.206,10.6.13.133,80,52431,TCP
10.6.13.133,104.208.203.90,52432,443,TCP
104.208.203.90,10.6.13.133,443,52432,TCP
10.6.13.133,10.6.13.3,52433,88,TCP
10.6.13.3,10.6.13.133,88,52433,TCP
10.6.13.133,10.6.13.3,52434,88,TCP
10.6.13.3,10.6.13.133,88,52434,TCP
10.6.13.133,10.6.13.3,52435,88,TCP
10.6.13.3,10.6.13.133,88,52435,TCP
10.6.13.133,10.6.13.3,52436,445,TCP
10.6.13.3,10.6.13.133,445,52436,TCP
10.6.13.133,10.6.13.3,52437,135,TCP
10.6.13.3,10.6.13.133,135,52437,TCP
10.6.13.133,10.6.13.3,52438,49669,TCP
10.6.13.3,10.6.13.133,49669,52438,TCP
10.6.13.133,10.6.13.3,52439,88,TCP
10.6.13.3,10.6.13.133,88,52439,TCP
10.6.13.133,10.6.13.3,52440,88,TCP
10.6.13.3,10.6.13.133,88,52440,TCP
10.6.13.133,10.6.13.3,52441,88,TCP
10.6.13.3,10.6.13.133,88,52441,TCP
10.6.13.133,10.6.13.3,52442,59774,TCP
10.6.13.3,10.6.13.133,59774,52442,TCP
10.6.13.133,10.6.13.3,52443,389,TCP
10.6.13.3,10.6.13.133,389,52443,TCP
10.6.13.133,10.6.13.3,52444,389,TCP
10.6.13.3,10.6.13.133,389,52444,TCP
10.6.13.133,10.6.13.3,52445,445,TCP
10.6.13.3,10.6.13.133,445,52445,TCP
10.6.13.133,10.6.13.3,52446,88,TCP
10.6.13.3,10.6.13.133,88,52446,TCP
10.6.13.133,20.190.135.6,52447,443,TCP
20.190.135.6,10.6.13.133,443,52447,TCP
10.6.13.133,217.20.51.22,52448,80,TCP
217.20.51.22,10.6.13.133,80,52448,TCP
10.6.13.133,13.107.42.16,52449,443,TCP
13.107.42.16,10.6.13.133,443,52449,TCP
10.6.13.133,204.79.197.203,52450,443,TCP
204.79.197.203,10.6.13.133,443,52450,TCP
10.6.13.133,23.212.185.76,52451,443,TCP
23.212.185.76,10.6.13.133,443,52451,TCP
10.6.13.133,13.107.42.16,52452,443,TCP
13.107.42.16,10.6.13.133,443,52452,TCP
10.6.13.133,150.171.27.11,52453,443,TCP
150.171.27.11,10.6.13.133,443,52453,TCP
10.6.13.133,10.6.13.3,52454,135,TCP
10.6.13.3,10.6.13.133,135,52454,TCP
10.6.13.133,10.6.13.3,52455,49669,TCP
10.6.13.3,10.6.13.133,49669,52455,TCP
10.6.13.133,10.6.13.3,52456,389,TCP
10.6.13.3,10.6.13.133,389,52456,TCP
10.6.13.133,10.6.13.3,52457,389,TCP
10.6.13.3,10.6.13.133,389,52457,TCP
10.6.13.133,40.126.29.13,52458,443,TCP
40.126.29.13,10.6.13.133,443,52458,TCP
10.6.13.133,10.6.13.3,52459,445,TCP
10.6.13.3,10.6.13.133,445,52459,TCP
10.6.13.133,23.198.7.180,52460,443,TCP
23.198.7.180,10.6.13.133,443,52460,TCP
10.6.13.133,150.171.28.11,52461,443,TCP
10.6.13.133,150.171.28.11,52462,443,TCP
150.171.28.11,10.6.13.133,443,52461,TCP
150.171.28.11,10.6.13.133,443,52462,TCP
10.6.13.133,142.250.115.99,52463,443,TCP
142.250.115.99,10.6.13.133,443,52463,TCP
10.6.13.133,173.194.208.155,52464,443,TCP
173.194.208.155,10.6.13.133,443,52464,TCP
10.6.13.133,142.250.113.95,52465,443,TCP
142.250.113.95,10.6.13.133,443,52465,TCP
10.6.13.133,142.250.113.95,52466,443,TCP
142.250.113.95,10.6.13.133,443,52466,TCP
10.6.13.133,142.251.186.138,52467,443,TCP
142.251.186.138,10.6.13.133,443,52467,TCP
10.6.13.133,142.251.186.138,52468,443,TCP
142.251.186.138,10.6.13.133,443,52468,TCP
10.6.13.133,205.174.24.80,52469,443,TCP
205.174.24.80,10.6.13.133,443,52469,TCP
10.6.13.133,142.250.115.95,52470,443,TCP
10.6.13.133,142.250.115.106,52471,443,TCP
142.250.115.95,10.6.13.133,443,52470,TCP
142.250.115.106,10.6.13.133,443,52471,TCP
10.6.13.133,142.250.138.97,52472,443,TCP
142.250.138.97,10.6.13.133,443,52472,TCP
10.6.13.133,142.250.115.94,52473,443,TCP
10.6.13.133,67.217.228.199,52474,443,TCP
10.6.13.133,13.107.246.57,52475,443,TCP
10.6.13.133,173.194.208.94,52476,443,TCP
10.6.13.133,109.61.92.48,52477,443,TCP
10.6.13.133,150.171.27.11,52478,443,TCP
142.250.115.94,10.6.13.133,443,52473,TCP
13.107.246.57,10.6.13.133,443,52475,TCP
173.194.208.94,10.6.13.133,443,52476,TCP
150.171.27.11,10.6.13.133,443,52478,TCP
109.61.92.48,10.6.13.133,443,52477,TCP
67.217.228.199,10.6.13.133,443,52474,TCP
10.6.13.133,109.61.92.48,52479,443,TCP
109.61.92.48,10.6.13.133,443,52479,TCP
10.6.13.133,142.250.115.104,52480,443,TCP
142.250.115.104,10.6.13.133,443,52480,TCP
10.6.13.133,157.240.24.13,52481,443,TCP
157.240.24.13,10.6.13.133,443,52481,TCP
10.6.13.133,142.250.115.94,52482,443,TCP
10.6.13.133,142.250.115.94,52483,443,TCP
142.250.115.94,10.6.13.133,443,52483,TCP
142.250.115.94,10.6.13.133,443,52482,TCP
10.6.13.133,44.239.34.26,52484,443,TCP
10.6.13.133,216.239.38.181,52485,443,TCP
10.6.13.133,142.250.138.155,52486,443,TCP
216.239.38.181,10.6.13.133,443,52485,TCP
44.239.34.26,10.6.13.133,443,52484,TCP
142.250.138.155,10.6.13.133,443,52486,TCP
10.6.13.133,23.96.124.68,52487,443,TCP
23.96.124.68,10.6.13.133,443,52487,TCP
10.6.13.133,23.96.124.68,52488,443,TCP
10.6.13.133,157.240.24.35,52489,443,TCP
10.6.13.133,157.240.24.35,52490,443,TCP
10.6.13.133,157.240.24.35,52491,443,TCP
157.240.24.35,10.6.13.133,443,52489,TCP
157.240.24.35,10.6.13.133,443,52490,TCP
157.240.24.35,10.6.13.133,443,52491,TCP
10.6.13.133,23.96.124.68,52492,443,TCP
10.6.13.133,173.194.208.94,52493,443,TCP
23.96.124.68,10.6.13.133,443,52488,TCP
173.194.208.94,10.6.13.133,443,52493,TCP
23.96.124.68,10.6.13.133,443,52492,TCP
10.6.13.133,104.16.124.96,52494,443,TCP
104.16.124.96,10.6.13.133,443,52494,TCP
10.6.13.133,67.217.228.199,52495,443,TCP
